part,shaper,tf_ms,cable_nom_mm,cable_infile_mm,trial,file,condition,applied_pattern,applied_amps,applied_delays_s,applied_amp_sum,tf_inferred_s,move_dist_mm,move_dur_s,rise_time_s,peak_vel_mm_s,amp_pp_mm,amp_pp_first,amp_pp_mean,amp_pp_max,rms,pred_amp_pp_mm,pred_over_meas,resid_window_s,cycles_available,n_cycles,T_meas_s,T_theory_s,T_err_pct,freq_fft_hz,zeta,move_t0,move_t1,good_for_plots,quality_notes
A,Unshaped,1100.0,800.0,799.0,1.0,Bridge_100_-100_1100_v1.csv,Unshaped | tf=1100 ms,unshaped,[0.995],[0.0],0.995,1.097,207.0,1.173,1.173,200.0,275.0,104.0,230.25,275.0,97.0009,213.2,0.7753,4.03,2.5,2.5,1.7881,1.7935,-0.3035,0.5363,0.0,1.429,2.602,False,"only 2.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots; first swing is a partial one; amp_pp_max is the number to cite"
A,Unshaped,1100.0,800.0,799.0,2.0,Bridge_100_-100_1100_v2.csv,Unshaped | tf=1100 ms,unshaped,[1.0],[0.0],1.0,1.097,206.0,1.173,1.122,200.0,267.0,82.0,219.5,267.0,95.6937,214.2,0.8022,3.37,2.5,2.5,1.8072,1.7935,0.7637,0.5746,0.0,0.609,1.782,False,"only 2.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots; first swing is a partial one; amp_pp_max is the number to cite"
A,Unshaped,1100.0,800.0,799.0,3.0,Bridge_100_-100_1100_v3.csv,Unshaped | tf=1100 ms,unshaped,[1.0],[0.0],1.0,1.02,198.0,1.071,1.071,200.0,271.0,114.0,228.75,271.0,96.5029,213.8,0.7889,3.32,2.5,2.5,1.8402,1.7935,2.6047,0.5366,0.0,1.377,2.448,False,"only 2.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots; first swing is a partial one; amp_pp_max is the number to cite"
A,Unshaped,1600.0,800.0,799.0,2.0,Bridge_100_-100_1600_v2.csv,Unshaped | tf=1600 ms,unshaped,[0.995],[0.0],0.995,1.53,297.0,1.582,1.582,201.0,152.0,152.0,152.0,152.0,50.9092,85.3,0.5612,1.94,1.0,1.0,,1.7935,,0.4594,,1.221,2.803,False,"only 1.0 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots"
A,Unshaped,1600.0,800.0,799.0,3.0,Bridge_100_-100_1600_v3.csv,Unshaped | tf=1600 ms,unshaped,[1.0],[0.0],1.0,1.607,309.0,1.683,1.633,200.0,125.0,8.0,105.375,125.0,43.1376,86.8,0.6944,7.35,4.5,4.5,1.7954,1.7935,0.1034,0.5552,0.0031,1.581,3.264,True,first swing is a partial one; amp_pp_max is the number to cite
A,Unshaped,2000.0,800.0,799.0,1.0,Bridge_100_-100_2000_v1.csv,Unshaped | tf=2000 ms,unshaped,[1.0],[0.0],1.0,1.964,387.0,2.041,2.041,200.0,48.0,44.0,45.5,48.0,16.258,63.9,1.3312,5.66,3.5,3.5,1.7934,1.7935,-0.0056,0.5765,0.0,12.698,14.738,True,
A,Unshaped,2000.0,800.0,799.0,2.0,Bridge_100_-100_2000_v2.csv,Unshaped | tf=2000 ms,unshaped,[1.0],[0.0],1.0,1.989,387.0,2.041,2.041,200.0,103.0,94.0,99.5,103.0,35.574,67.4,0.6544,3.88,2.5,2.5,1.8263,1.7935,1.8304,0.5614,0.0,0.918,2.959,False,"only 2.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots"
A,Unshaped,2000.0,800.0,799.0,4.0,Bridge_100_-100_2000_v4.csv,Unshaped | tf=2000 ms,unshaped,[1.0],[0.0],1.0,1.913,383.0,1.989,1.938,200.0,62.0,10.0,50.8,62.0,21.6422,64.6,1.0419,4.64,3.0,3.0,1.8242,1.7935,1.7141,0.5376,0.0,0.762,2.751,True,first swing is a partial one; amp_pp_max is the number to cite
A,ZV,1100.0,800.0,799.0,1.0,Bridge_ZV_.5_.5_.9_1100_v1.csv,ZV | tf=1100 ms,unshaped,[0.5],[0.0],0.5,1.964,211.0,1.887,1.837,200.0,31.0,31.0,31.0,31.0,8.6271,13.9,0.4484,1.79,1.0,1.0,,1.7935,,0.3823,,1.479,3.367,False,"only 1.0 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots; only 1 of the 2 commanded impulses are visible: the hold time tf is shorter than the shaper, so the steps overlap and the trolley never reaches top speed"
A,ZV,1100.0,800.0,799.0,3.0,Bridge_ZV_.5_.5_.9_1100_v3.csv,ZV | tf=1100 ms,unshaped,[0.5],[0.0],0.5,1.964,211.0,1.938,1.938,200.0,27.0,27.0,24.0,27.0,8.5677,9.6,0.3556,8.52,5.0,4.0,1.7954,1.7935,0.1034,0.5564,0.0097,1.731,3.67,True,"only 1 of the 2 commanded impulses are visible: the hold time tf is shorter than the shaper, so the steps overlap and the trolley never reaches top speed"
A,ZV,1600.0,800.0,799.0,2.0,Bridge_ZV_.5_.5_.9_1600_v2.csv,ZV | tf=1600 ms,ZV,"[0.5, 0.5]","[0.0, 0.868]",1.0,1.581,316.0,2.5,2.5,200.0,35.0,7.0,30.125,35.0,11.8182,8.1,0.2314,8.36,5.0,4.5,1.8019,1.7935,0.4673,0.5553,0.0,105.125,107.624,True,first swing is a partial one; amp_pp_max is the number to cite
A,ZV,1600.0,800.0,799.0,3.0,Bridge_ZV_.5_.5_.9_1600_v3.csv,ZV | tf=1600 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.581,310.0,2.398,2.398,200.0,32.0,19.0,29.125,32.0,10.7973,17.0,0.5312,11.99,7.0,4.5,1.7606,1.7935,-1.8334,0.5553,0.0,4.081,6.479,True,
A,ZV,1600.0,800.0,799.0,4.0,Bridge_ZV_.5_.5_.9_1600_v4.csv,ZV | tf=1600 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.581,316.0,2.499,2.499,200.0,24.0,20.0,22.6,24.0,8.4968,13.7,0.5708,5.0,3.0,3.0,1.7654,1.7935,-1.5646,0.5754,0.0,3.775,6.274,True,
A,ZV,1800.0,800.0,799.0,1.0,Bridge_ZV_.5_.5_.9_1800_v1.csv,ZV | tf=1800 ms,ZV,"[0.5, 0.5]","[0.0, 0.867]",1.0,1.785,351.0,2.602,2.602,200.0,20.0,14.0,17.0,20.0,6.8665,3.4,0.17,1.78,1.5,1.5,1.6344,1.7935,-8.8694,0.6122,,3.877,6.478,False,"only 1.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots; measured period is -9 % off the pendulum value (small-amplitude quantisation, or wrong cable tag)"
A,ZV,1800.0,800.0,799.0,2.0,Bridge_ZV_.5_.5_.9_1800_v2.csv,ZV | tf=1800 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.734,352.0,2.652,2.601,200.0,16.0,16.0,13.875,16.0,5.0409,16.7,1.0438,7.96,5.0,4.5,1.7543,1.7935,-2.1878,0.5548,0.009,1.629,4.281,True,
A,ZV,2000.0,800.0,799.0,1.0,Bridge_ZV_.5_.5_.9_2000_v1.csv,ZV | tf=2000 ms,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.964,392.0,2.857,2.857,200.0,9.0,8.0,8.1429,9.0,3.0529,8.2,0.9111,7.55,4.5,4.0,1.6741,1.7935,-6.6585,0.5558,0.0,1.884,4.741,True,
A,ZV,2000.0,800.0,799.0,2.0,Bridge_ZV_.5_.5_.9_2000_v2.csv,ZV | tf=2000 ms,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.938,391.0,2.805,2.805,200.0,12.0,9.0,10.8,12.0,3.928,6.6,0.55,4.69,3.0,3.0,1.6842,1.7935,-6.0954,0.5753,0.0,2.602,5.407,True,
A,ZV,2000.0,800.0,799.0,3.0,Bridge_ZV_.5_.5_.9_2000_v3.csv,ZV | tf=2000 ms,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.964,394.0,2.857,2.806,200.0,16.0,14.0,15.5714,16.0,5.5471,4.3,0.2688,7.55,4.5,4.0,1.7669,1.7935,-1.4852,0.5553,0.0,1.016,3.873,True,
